Image_Name: _a_11,100 copy
Class: Hair
Inner Main Points: [(1067.2145292150167, 154.6756115354684), (1059.1319326634293, 111.57232386357038), (1015.392430014209, 82.87832115597018), (1065.3631630696032, 145.22529832655985), (1031.68251552247, 125.5810859317624)]
Mask Points:
[[        960          18]
 [        960          39]
 [        954          45]
 [        936          45]
 [        933          48]
 [        927          48]
 [        924          51]
 [        921          51]
 [        918          54]
 [        915          54]
 [        912          57]
 [        909          57]
 [        906          60]
 [        903          60]
 [        900          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        885          69]
 [        882          69]
 [        879          72]
 [        873          72]
 [        870          75]
 [        846          75]
 [        843          78]
 [        843          93]
 [        846          96]
 [        846         102]
 [        843         105]
 [        843         108]
 [        840         111]
 [        840         114]
 [        819         135]
 [        810         135]
 [        810         153]
 [        819         153]
 [        825         159]
 [        825         162]
 [        819         168]
 [        810         168]
 [        810         189]
 [        819         189]
 [        822         192]
 [        825         192]
 [        828         195]
 [        828         216]
 [        825         219]
 [        825         228]
 [        831         234]
 [        837         234]
 [        840         237]
 [        846         237]
 [        846         234]
 [        852         228]
 [        852         225]
 [        855         222]
 [        855         219]
 [        858         216]
 [        858         189]
 [        861         186]
 [        861         168]
 [        864         165]
 [        864         162]
 [        867         159]
 [        867         153]
 [        870         150]
 [        870         147]
 [        879         138]
 [        879         135]
 [        888         126]
 [        888         123]
 [        897         114]
 [        900         114]
 [        906         108]
 [        909         108]
 [        915         102]
 [        921         102]
 [        924          99]
 [        936          99]
 [        945         108]
 [        945         111]
 [        948         114]
 [        948         117]
 [        951         120]
 [        951         123]
 [        963         135]
 [        963         138]
 [        969         138]
 [        972         135]
 [        972         123]
 [        978         117]
 [        987         117]
 [        993         123]
 [        996         123]
 [       1011         138]
 [       1011         141]
 [       1014         144]
 [       1014         147]
 [       1017         150]
 [       1017         165]
 [       1014         168]
 [       1014         174]
 [       1017         177]
 [       1035         177]
 [       1041         183]
 [       1041         189]
 [       1044         192]
 [       1044         195]
 [       1047         198]
 [       1047         234]
 [       1050         237]
 [       1071         237]
 [       1074         240]
 [       1083         240]
 [       1089         234]
 [       1089         231]
 [       1095         225]
 [       1101         225]
 [       1104         222]
 [       1110         222]
 [       1110         207]
 [       1113         204]
 [       1113         201]
 [       1116         198]
 [       1116         195]
 [       1101         180]
 [       1101         177]
 [       1098         174]
 [       1098         159]
 [       1095         156]
 [       1095         147]
 [       1089         141]
 [       1089         138]
 [       1086         135]
 [       1086         123]
 [       1089         120]
 [       1092         120]
 [       1098         114]
 [       1101         114]
 [       1101         111]
 [       1095         105]
 [       1092         105]
 [       1089         102]
 [       1086         102]
 [       1083          99]
 [       1080          99]
 [       1074          93]
 [       1071          93]
 [       1050          72]
 [       1047          72]
 [       1044          69]
 [       1041          69]
 [       1035          63]
 [       1038          60]
 [       1038          57]
 [       1041          54]
 [       1038          51]
 [       1026          51]
 [       1023          48]
 [       1005          48]
 [       1002          51]
 [        999          48]
 [        990          48]
 [        981          39]
 [        981          36]
 [        978          33]
 [        978          18]]
