Image_Name: _a_1,100 copy
Class: Hair
Inner Main Points: [(939.261386168329, 85.26013292323839), (1036.3997917913578, 161.1167483887543), (947.8059239668291, 87.18760983688364), (992.3990105292075, 106.74211367259683), (1035.0169087425788, 184.24585938767072)]
Mask Points:
[[        918          30]
 [        918          42]
 [        924          48]
 [        924          54]
 [        921          57]
 [        918          57]
 [        915          60]
 [        909          60]
 [        906          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        885          69]
 [        882          69]
 [        876          75]
 [        870          75]
 [        867          78]
 [        864          78]
 [        858          84]
 [        855          84]
 [        852          87]
 [        849          87]
 [        846          90]
 [        843          90]
 [        840          93]
 [        837          93]
 [        831          99]
 [        825          99]
 [        822         102]
 [        816         102]
 [        813         105]
 [        810         105]
 [        804         111]
 [        804         114]
 [        807         117]
 [        807         120]
 [        810         123]
 [        810         126]
 [        807         129]
 [        807         132]
 [        804         135]
 [        804         138]
 [        798         144]
 [        798         147]
 [        786         159]
 [        774         159]
 [        774         174]
 [        783         174]
 [        786         177]
 [        789         177]
 [        795         183]
 [        795         186]
 [        792         189]
 [        792         195]
 [        783         204]
 [        774         204]
 [        774         222]
 [        786         222]
 [        789         225]
 [        792         225]
 [        798         231]
 [        798         258]
 [        825         258]
 [        828         255]
 [        828         252]
 [        825         249]
 [        825         204]
 [        828         201]
 [        828         189]
 [        834         183]
 [        837         186]
 [        846         186]
 [        846         180]
 [        849         177]
 [        849         174]
 [        852         171]
 [        852         168]
 [        855         165]
 [        855         162]
 [        858         159]
 [        858         153]
 [        864         147]
 [        864         144]
 [        867         141]
 [        867         138]
 [        885         120]
 [        888         120]
 [        891         117]
 [        894         117]
 [        897         114]
 [        900         114]
 [        903         111]
 [        915         111]
 [        927         123]
 [        927         126]
 [        936         135]
 [        936         138]
 [        939         141]
 [        942         141]
 [        945         144]
 [        948         144]
 [        951         147]
 [        951         126]
 [        954         123]
 [        957         126]
 [        966         126]
 [        969         129]
 [        972         129]
 [        981         138]
 [        984         138]
 [        987         141]
 [        990         141]
 [        996         147]
 [        996         150]
 [        999         153]
 [        999         162]
 [       1002         165]
 [       1002         174]
 [        999         177]
 [        999         186]
 [       1005         186]
 [       1008         183]
 [       1014         183]
 [       1017         186]
 [       1023         186]
 [       1026         189]
 [       1026         192]
 [       1029         195]
 [       1029         198]
 [       1032         201]
 [       1032         204]
 [       1035         207]
 [       1035         219]
 [       1038         222]
 [       1038         243]
 [       1041         243]
 [       1044         246]
 [       1053         246]
 [       1056         243]
 [       1059         243]
 [       1068         234]
 [       1071         234]
 [       1074         231]
 [       1080         231]
 [       1080         228]
 [       1083         225]
 [       1083         210]
 [       1086         207]
 [       1086         204]
 [       1089         201]
 [       1089         195]
 [       1077         183]
 [       1077         180]
 [       1074         177]
 [       1074         174]
 [       1071         171]
 [       1071         159]
 [       1068         156]
 [       1068         153]
 [       1065         150]
 [       1065         147]
 [       1062         144]
 [       1062         141]
 [       1059         138]
 [       1059         123]
 [       1068         114]
 [       1071         114]
 [       1071         111]
 [       1068         111]
 [       1065         108]
 [       1062         108]
 [       1059         105]
 [       1056         105]
 [       1053         102]
 [       1050         102]
 [       1047          99]
 [       1044          99]
 [       1041          96]
 [       1038          96]
 [       1035          93]
 [       1032          93]
 [       1026          87]
 [       1023          87]
 [       1017          81]
 [       1014          81]
 [       1008          75]
 [       1008          72]
 [       1002          66]
 [        999          66]
 [        996          63]
 [        993          63]
 [        990          60]
 [        954          60]
 [        951          57]
 [        948          57]
 [        945          54]
 [        945          51]
 [        939          45]
 [        939          42]
 [        936          39]
 [        936          30]]
