Image_Name: _a_4,100 copy
Class: Hair
Inner Main Points: [(820.5707399538624, 186.9967771728524), (820.8689764624079, 162.10803216556508), (1033.7996214229013, 141.46549184869446), (1060.432562103119, 225.97640934511807), (1045.159258925219, 218.37130094914218)]
Mask Points:
[[        921          30]
 [        921          42]
 [        924          45]
 [        924          54]
 [        921          57]
 [        915          57]
 [        912          60]
 [        906          60]
 [        903          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        882          72]
 [        879          72]
 [        876          75]
 [        870          75]
 [        867          78]
 [        864          78]
 [        858          84]
 [        855          84]
 [        852          87]
 [        846          87]
 [        840          93]
 [        837          93]
 [        834          96]
 [        831          96]
 [        828          99]
 [        822          99]
 [        819         102]
 [        813         102]
 [        807         108]
 [        807         114]
 [        810         117]
 [        810         129]
 [        807         132]
 [        807         135]
 [        801         141]
 [        801         144]
 [        786         159]
 [        774         159]
 [        774         174]
 [        789         174]
 [        795         180]
 [        795         192]
 [        789         198]
 [        789         201]
 [        786         204]
 [        774         204]
 [        774         222]
 [        789         222]
 [        798         231]
 [        798         255]
 [        801         255]
 [        804         258]
 [        822         258]
 [        825         255]
 [        828         255]
 [        828         243]
 [        825         240]
 [        825         210]
 [        828         207]
 [        828         195]
 [        834         189]
 [        837         189]
 [        840         186]
 [        846         186]
 [        846         180]
 [        849         177]
 [        849         174]
 [        855         168]
 [        855         162]
 [        858         159]
 [        858         156]
 [        861         153]
 [        861         150]
 [        864         147]
 [        864         144]
 [        867         141]
 [        867         138]
 [        885         120]
 [        888         120]
 [        891         117]
 [        894         117]
 [        897         114]
 [        900         114]
 [        903         111]
 [        918         111]
 [        924         117]
 [        924         120]
 [        933         129]
 [        933         132]
 [        942         141]
 [        945         141]
 [        951         147]
 [        954         147]
 [        954         129]
 [        957         126]
 [        966         126]
 [        969         129]
 [        972         129]
 [        975         132]
 [        978         132]
 [        984         138]
 [        987         138]
 [        996         147]
 [        996         150]
 [        999         153]
 [        999         156]
 [       1002         159]
 [       1002         177]
 [        999         180]
 [        999         183]
 [       1002         186]
 [       1005         186]
 [       1008         183]
 [       1017         183]
 [       1020         186]
 [       1023         186]
 [       1026         189]
 [       1026         192]
 [       1029         195]
 [       1029         198]
 [       1032         201]
 [       1032         204]
 [       1035         207]
 [       1035         228]
 [       1038         231]
 [       1038         243]
 [       1059         243]
 [       1065         237]
 [       1068         237]
 [       1071         234]
 [       1074         234]
 [       1077         231]
 [       1080         231]
 [       1083         228]
 [       1083         216]
 [       1086         213]
 [       1086         204]
 [       1092         198]
 [       1092         195]
 [       1089         195]
 [       1080         186]
 [       1080         183]
 [       1077         180]
 [       1077         177]
 [       1074         174]
 [       1074         165]
 [       1071         162]
 [       1071         156]
 [       1068         153]
 [       1068         150]
 [       1065         147]
 [       1065         144]
 [       1062         141]
 [       1062         138]
 [       1059         135]
 [       1059         126]
 [       1071         114]
 [       1071         111]
 [       1068         111]
 [       1065         108]
 [       1062         108]
 [       1059         105]
 [       1056         105]
 [       1053         102]
 [       1050         102]
 [       1047          99]
 [       1044          99]
 [       1041          96]
 [       1038          96]
 [       1029          87]
 [       1026          87]
 [       1020          81]
 [       1017          81]
 [       1011          75]
 [       1011          72]
 [       1005          66]
 [       1002          66]
 [        999          63]
 [        996          63]
 [        993          60]
 [        981          60]
 [        978          57]
 [        972          57]
 [        969          60]
 [        963          60]
 [        960          57]
 [        951          57]
 [        948          54]
 [        948          51]
 [        942          45]
 [        942          30]]
