Image_Name: _a_10,100 copy
Class: Hair
Inner Main Points: [(1065.5266576118834, 113.96464078146853), (970.4412299634, 88.51825254560586), (932.7389712430459, 79.12251300633395), (995.5296886941367, 71.1919849827222), (845.8553213469979, 156.4866534725823)]
Mask Points:
[[        951          18]
 [        951          33]
 [        954          36]
 [        954          39]
 [        948          45]
 [        945          45]
 [        942          48]
 [        927          48]
 [        924          51]
 [        918          51]
 [        912          57]
 [        909          57]
 [        906          60]
 [        903          60]
 [        900          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        885          69]
 [        882          69]
 [        879          72]
 [        876          72]
 [        873          75]
 [        867          75]
 [        864          78]
 [        855          78]
 [        852          81]
 [        846          81]
 [        843          84]
 [        837          84]
 [        834          87]
 [        834          96]
 [        837          99]
 [        837         111]
 [        825         123]
 [        825         126]
 [        822         129]
 [        810         129]
 [        810         204]
 [        819         204]
 [        822         207]
 [        822         213]
 [        819         216]
 [        810         216]
 [        810         234]
 [        825         234]
 [        828         237]
 [        843         237]
 [        846         234]
 [        846         210]
 [        849         207]
 [        849         195]
 [        852         192]
 [        852         189]
 [        855         186]
 [        855         183]
 [        858         180]
 [        858         177]
 [        861         174]
 [        861         168]
 [        864         165]
 [        864         162]
 [        867         159]
 [        867         153]
 [        870         150]
 [        870         147]
 [        873         144]
 [        873         141]
 [        882         132]
 [        882         129]
 [        897         114]
 [        900         114]
 [        906         108]
 [        909         108]
 [        912         105]
 [        915         105]
 [        918         102]
 [        933         102]
 [        948         117]
 [        948         123]
 [        951         126]
 [        951         129]
 [        963         141]
 [        966         141]
 [        966         129]
 [        969         126]
 [        969         123]
 [        975         117]
 [        978         120]
 [        981         120]
 [        984         123]
 [        987         123]
 [        990         126]
 [        993         126]
 [       1011         144]
 [       1011         153]
 [       1014         156]
 [       1014         177]
 [       1020         177]
 [       1023         174]
 [       1026         177]
 [       1032         177]
 [       1038         183]
 [       1038         186]
 [       1041         189]
 [       1041         195]
 [       1044         198]
 [       1044         213]
 [       1047         216]
 [       1047         237]
 [       1050         240]
 [       1056         240]
 [       1059         237]
 [       1062         240]
 [       1074         240]
 [       1077         237]
 [       1080         237]
 [       1089         228]
 [       1092         228]
 [       1095         225]
 [       1098         225]
 [       1101         222]
 [       1104         222]
 [       1107         219]
 [       1104         216]
 [       1104         210]
 [       1107         207]
 [       1107         204]
 [       1110         201]
 [       1110         192]
 [       1092         174]
 [       1092         159]
 [       1089         156]
 [       1089         147]
 [       1086         144]
 [       1086         141]
 [       1083         138]
 [       1083         129]
 [       1080         126]
 [       1089         117]
 [       1092         117]
 [       1098         111]
 [       1095         108]
 [       1092         108]
 [       1086         102]
 [       1083         102]
 [       1080          99]
 [       1074          99]
 [       1071          96]
 [       1068          96]
 [       1056          84]
 [       1053          84]
 [       1038          69]
 [       1035          69]
 [       1029          63]
 [       1029          54]
 [       1026          51]
 [        987          51]
 [        969          33]
 [        969          18]]
