Image_Name: _a_12,100 copy
Class: Shoe
Inner Main Points: [(1761.6395878751134, 1030.305562363632), (1727.7247832480782, 973.7684217963312), (1781.7841421968576, 993.0264764077275), (1755.3254196337462, 1008.9013602146094), (1764.240414140675, 953.6221104194515)]
Mask Points:
[[       1710         930]
 [       1710        1029]
 [       1719        1029]
 [       1722        1032]
 [       1725        1032]
 [       1728        1035]
 [       1728        1038]
 [       1731        1041]
 [       1734        1041]
 [       1737        1044]
 [       1761        1044]
 [       1764        1041]
 [       1767        1041]
 [       1773        1035]
 [       1776        1035]
 [       1779        1032]
 [       1782        1032]
 [       1785        1029]
 [       1788        1029]
 [       1791        1026]
 [       1794        1026]
 [       1800        1020]
 [       1803        1020]
 [       1809        1014]
 [       1809        1011]
 [       1818        1002]
 [       1827        1002]
 [       1827         978]
 [       1818         978]
 [       1812         972]
 [       1812         969]
 [       1803         960]
 [       1800         960]
 [       1782         942]
 [       1782         930]]
