Image_Name: _a_12,100 copy
Class: Hair
Inner Main Points: [(1040.8801503902848, 114.00598810099817), (868.7208527553786, 120.84888599180717), (970.0939914052436, 110.02436091147216), (1041.1132931725842, 90.65040136679487), (875.8269223362076, 104.98668992185584)]
Mask Points:
[[        975          18]
 [        975          33]
 [        966          42]
 [        957          42]
 [        954          39]
 [        951          42]
 [        942          42]
 [        939          45]
 [        936          45]
 [        933          48]
 [        930          48]
 [        927          51]
 [        924          51]
 [        921          54]
 [        918          54]
 [        915          57]
 [        912          57]
 [        909          60]
 [        903          60]
 [        900          63]
 [        888          63]
 [        885          66]
 [        867          66]
 [        858          75]
 [        858          78]
 [        861          81]
 [        861          99]
 [        831         129]
 [        822         129]
 [        822         141]
 [        831         141]
 [        837         147]
 [        837         156]
 [        831         162]
 [        822         162]
 [        822         186]
 [        834         186]
 [        840         192]
 [        840         204]
 [        837         207]
 [        837         219]
 [        843         225]
 [        852         225]
 [        858         219]
 [        858         213]
 [        861         210]
 [        861         186]
 [        864         183]
 [        864         174]
 [        867         171]
 [        867         162]
 [        870         159]
 [        870         156]
 [        879         147]
 [        879         144]
 [        882         141]
 [        882         138]
 [        888         132]
 [        888         129]
 [        912         105]
 [        915         105]
 [        918         102]
 [        924         102]
 [        927          99]
 [        945          99]
 [        951         105]
 [        951         108]
 [        954         111]
 [        954         114]
 [        960         120]
 [        960         123]
 [        963         126]
 [        963         129]
 [        966         129]
 [        975         138]
 [        978         135]
 [        978         126]
 [        981         123]
 [        981         117]
 [        987         111]
 [        993         117]
 [        996         117]
 [       1002         123]
 [       1005         123]
 [       1020         138]
 [       1020         141]
 [       1023         144]
 [       1023         177]
 [       1029         177]
 [       1035         171]
 [       1047         183]
 [       1047         189]
 [       1050         192]
 [       1050         213]
 [       1053         216]
 [       1053         231]
 [       1059         237]
 [       1065         237]
 [       1068         240]
 [       1074         240]
 [       1080         246]
 [       1080         255]
 [       1086         255]
 [       1086         246]
 [       1089         243]
 [       1089         240]
 [       1092         237]
 [       1092         234]
 [       1101         225]
 [       1107         225]
 [       1110         222]
 [       1116         222]
 [       1119         219]
 [       1131         219]
 [       1131         186]
 [       1119         186]
 [       1107         174]
 [       1107         159]
 [       1104         156]
 [       1104         147]
 [       1098         141]
 [       1098         135]
 [       1095         132]
 [       1095         129]
 [       1092         126]
 [       1092         123]
 [       1095         120]
 [       1098         120]
 [       1101         117]
 [       1104         117]
 [       1107         114]
 [       1110         114]
 [       1110         111]
 [       1101         102]
 [       1098         102]
 [       1095          99]
 [       1092          99]
 [       1089          96]
 [       1086          96]
 [       1065          75]
 [       1062          75]
 [       1059          72]
 [       1056          72]
 [       1053          69]
 [       1050          69]
 [       1044          63]
 [       1053          54]
 [       1050          51]
 [       1047          51]
 [       1044          48]
 [       1038          48]
 [       1035          45]
 [       1008          45]
 [       1005          42]
 [       1002          42]
 [        999          39]
 [        999          36]
 [        996          33]
 [        996          18]]
