Image_Name: _a_7,100 copy
Class: Neck
Inner Main Points: [(928.7246841497948, 374.16604525474145), (951.6198861714169, 356.4978593693106), (916.3311269865775, 358.90384598744845), (933.4902355353003, 354.1862486258425), (935.0737102003256, 366.9769750251765)]
Mask Points:
[[        906         342]
 [        906         378]
 [        918         378]
 [        930         390]
 [        930         399]
 [        930         390]
 [        936         384]
 [        942         384]
 [        948         378]
 [        951         378]
 [        966         363]
 [        975         363]
 [        975         342]]
