Image_Name: _a_5,100 copy
Class: Hair
Inner Main Points: [(813.1831719329978, 178.34035013058934), (808.9009382790821, 172.921845574894), (911.6028171494036, 77.1007817881898), (795.6227942406091, 210.47086595870314), (852.8749530356511, 141.54649166937912)]
Mask Points:
[[        924          30]
 [        924          54]
 [        921          57]
 [        915          57]
 [        912          60]
 [        903          60]
 [        900          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        882          72]
 [        879          72]
 [        876          75]
 [        870          75]
 [        867          78]
 [        864          78]
 [        858          84]
 [        855          84]
 [        852          87]
 [        846          87]
 [        843          90]
 [        840          90]
 [        834          96]
 [        831          96]
 [        828          99]
 [        819          99]
 [        816         102]
 [        810         102]
 [        810         117]
 [        813         120]
 [        813         129]
 [        807         135]
 [        807         138]
 [        795         150]
 [        795         153]
 [        789         159]
 [        774         159]
 [        774         168]
 [        783         168]
 [        798         183]
 [        795         186]
 [        795         192]
 [        789         198]
 [        789         201]
 [        786         204]
 [        774         204]
 [        774         216]
 [        783         216]
 [        786         219]
 [        789         219]
 [        798         228]
 [        798         246]
 [        804         252]
 [        807         252]
 [        810         255]
 [        825         255]
 [        828         252]
 [        828         237]
 [        825         234]
 [        825         207]
 [        828         204]
 [        828         192]
 [        834         186]
 [        843         186]
 [        849         180]
 [        849         177]
 [        855         171]
 [        855         165]
 [        858         162]
 [        858         156]
 [        861         153]
 [        861         150]
 [        867         144]
 [        867         138]
 [        885         120]
 [        888         120]
 [        891         117]
 [        894         117]
 [        897         114]
 [        900         114]
 [        903         111]
 [        918         111]
 [        927         120]
 [        927         123]
 [        939         135]
 [        939         138]
 [        942         138]
 [        945         141]
 [        948         141]
 [        951         144]
 [        951         147]
 [        954         147]
 [        954         129]
 [        957         126]
 [        960         126]
 [        963         123]
 [        966         126]
 [        969         126]
 [        972         129]
 [        975         129]
 [        978         132]
 [        981         132]
 [        987         138]
 [        990         138]
 [        996         144]
 [        996         147]
 [        999         150]
 [        999         156]
 [       1002         159]
 [       1002         186]
 [       1005         183]
 [       1023         183]
 [       1026         186]
 [       1026         189]
 [       1029         192]
 [       1029         195]
 [       1032         198]
 [       1032         201]
 [       1035         204]
 [       1035         213]
 [       1038         216]
 [       1038         237]
 [       1041         240]
 [       1041         243]
 [       1062         243]
 [       1071         234]
 [       1074         234]
 [       1077         231]
 [       1080         231]
 [       1086         225]
 [       1086         207]
 [       1089         204]
 [       1089         201]
 [       1092         198]
 [       1092         195]
 [       1077         180]
 [       1077         174]
 [       1074         171]
 [       1074         159]
 [       1071         156]
 [       1071         153]
 [       1068         150]
 [       1068         147]
 [       1065         144]
 [       1065         141]
 [       1062         138]
 [       1062         123]
 [       1068         117]
 [       1071         117]
 [       1074         114]
 [       1074         111]
 [       1071         111]
 [       1068         108]
 [       1065         108]
 [       1062         105]
 [       1059         105]
 [       1056         102]
 [       1053         102]
 [       1050          99]
 [       1047          99]
 [       1044          96]
 [       1041          96]
 [       1035          90]
 [       1032          90]
 [       1026          84]
 [       1023          84]
 [       1014          75]
 [       1014          72]
 [       1008          66]
 [       1005          66]
 [       1002          63]
 [        999          63]
 [        996          60]
 [        990          60]
 [        987          57]
 [        972          57]
 [        969          60]
 [        963          60]
 [        960          57]
 [        954          57]
 [        945          48]
 [        945          45]
 [        942          42]
 [        942          30]]
