Image_Name: _a_0,100 copy
Class: Hair
Inner Main Points: [(960.1287874341684, 71.74045354100363), (830.6055299400165, 122.60824176690988), (807.3590231881074, 215.07348610876915), (1000.3397202896472, 107.56707504966204), (1054.2826869827868, 230.95181007112126)]
Mask Points:
[[        918          30]
 [        918          39]
 [        921          42]
 [        921          45]
 [        924          48]
 [        924          54]
 [        921          57]
 [        918          57]
 [        915          60]
 [        909          60]
 [        906          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        882          72]
 [        879          72]
 [        876          75]
 [        870          75]
 [        864          81]
 [        861          81]
 [        858          84]
 [        855          84]
 [        852          87]
 [        849          87]
 [        846          90]
 [        843          90]
 [        840          93]
 [        837          93]
 [        831          99]
 [        825          99]
 [        822         102]
 [        816         102]
 [        813         105]
 [        810         105]
 [        804         111]
 [        804         114]
 [        807         117]
 [        807         120]
 [        810         123]
 [        810         126]
 [        807         129]
 [        807         132]
 [        804         135]
 [        804         138]
 [        798         144]
 [        798         147]
 [        786         159]
 [        774         159]
 [        774         174]
 [        783         174]
 [        786         177]
 [        789         177]
 [        795         183]
 [        795         186]
 [        792         189]
 [        792         195]
 [        789         198]
 [        789         201]
 [        786         204]
 [        774         204]
 [        774         222]
 [        786         222]
 [        789         225]
 [        792         225]
 [        798         231]
 [        798         258]
 [        828         258]
 [        828         243]
 [        825         240]
 [        825         201]
 [        828         198]
 [        828         189]
 [        834         183]
 [        837         186]
 [        846         186]
 [        846         183]
 [        849         180]
 [        849         174]
 [        855         168]
 [        855         162]
 [        858         159]
 [        858         156]
 [        861         153]
 [        861         150]
 [        864         147]
 [        864         144]
 [        867         141]
 [        867         138]
 [        882         123]
 [        885         123]
 [        888         120]
 [        891         120]
 [        894         117]
 [        897         117]
 [        900         114]
 [        903         114]
 [        906         111]
 [        912         111]
 [        915         114]
 [        918         114]
 [        927         123]
 [        927         126]
 [        936         135]
 [        936         138]
 [        939         141]
 [        945         141]
 [        951         147]
 [        951         126]
 [        954         123]
 [        957         126]
 [        966         126]
 [        969         129]
 [        972         129]
 [        978         135]
 [        981         135]
 [        987         141]
 [        990         141]
 [        996         147]
 [        996         150]
 [        999         153]
 [        999         159]
 [       1002         162]
 [       1002         174]
 [        999         177]
 [        999         186]
 [       1008         186]
 [       1011         183]
 [       1014         183]
 [       1017         186]
 [       1023         186]
 [       1026         189]
 [       1026         192]
 [       1029         195]
 [       1029         198]
 [       1032         201]
 [       1032         204]
 [       1035         207]
 [       1035         210]
 [       1038         213]
 [       1038         243]
 [       1041         243]
 [       1044         246]
 [       1053         246]
 [       1056         243]
 [       1062         243]
 [       1062         240]
 [       1065         237]
 [       1068         237]
 [       1071         234]
 [       1074         234]
 [       1077         231]
 [       1080         231]
 [       1080         228]
 [       1083         225]
 [       1083         210]
 [       1086         207]
 [       1086         204]
 [       1092         198]
 [       1077         183]
 [       1077         180]
 [       1074         177]
 [       1074         171]
 [       1071         168]
 [       1071         159]
 [       1068         156]
 [       1068         150]
 [       1065         147]
 [       1065         144]
 [       1062         141]
 [       1062         138]
 [       1059         135]
 [       1059         123]
 [       1068         114]
 [       1071         114]
 [       1071         111]
 [       1068         111]
 [       1065         108]
 [       1062         108]
 [       1059         105]
 [       1056         105]
 [       1053         102]
 [       1050         102]
 [       1047          99]
 [       1044          99]
 [       1041          96]
 [       1038          96]
 [       1035          93]
 [       1032          93]
 [       1026          87]
 [       1023          87]
 [       1017          81]
 [       1014          81]
 [       1008          75]
 [       1008          72]
 [       1002          66]
 [        999          66]
 [        996          63]
 [        990          63]
 [        987          60]
 [        954          60]
 [        951          57]
 [        948          57]
 [        942          51]
 [        942          48]
 [        936          42]
 [        936          30]]
