Image_Name: _a_2,100 copy
Class: Hair
Inner Main Points: [(1014.8086923008195, 124.74725614936756), (964.2234162144059, 112.75072585750472), (811.7968344992258, 225.81858753777234), (800.5997402851548, 166.7015176567021), (803.7337943263254, 218.61087338057504)]
Mask Points:
[[        918          30]
 [        918          42]
 [        924          48]
 [        924          54]
 [        921          57]
 [        918          57]
 [        915          60]
 [        906          60]
 [        903          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        885          69]
 [        882          69]
 [        876          75]
 [        870          75]
 [        864          81]
 [        861          81]
 [        858          84]
 [        855          84]
 [        852          87]
 [        849          87]
 [        846          90]
 [        843          90]
 [        840          93]
 [        837          93]
 [        831          99]
 [        825          99]
 [        822         102]
 [        813         102]
 [        804         111]
 [        807         114]
 [        807         120]
 [        810         123]
 [        810         126]
 [        807         129]
 [        807         132]
 [        804         135]
 [        804         138]
 [        798         144]
 [        798         147]
 [        786         159]
 [        774         159]
 [        774         174]
 [        783         174]
 [        786         177]
 [        789         177]
 [        795         183]
 [        795         186]
 [        792         189]
 [        792         195]
 [        783         204]
 [        774         204]
 [        774         222]
 [        786         222]
 [        789         225]
 [        792         225]
 [        798         231]
 [        798         255]
 [        801         258]
 [        825         258]
 [        825         204]
 [        828         201]
 [        828         189]
 [        834         183]
 [        837         183]
 [        840         186]
 [        843         186]
 [        846         183]
 [        846         180]
 [        849         177]
 [        849         171]
 [        855         165]
 [        855         162]
 [        858         159]
 [        858         153]
 [        861         150]
 [        861         147]
 [        867         141]
 [        867         138]
 [        885         120]
 [        888         120]
 [        891         117]
 [        894         117]
 [        897         114]
 [        900         114]
 [        903         111]
 [        912         111]
 [        915         114]
 [        918         114]
 [        924         120]
 [        924         123]
 [        933         132]
 [        933         135]
 [        942         144]
 [        948         144]
 [        951         147]
 [        951         126]
 [        954         123]
 [        957         126]
 [        966         126]
 [        972         132]
 [        975         132]
 [        981         138]
 [        984         138]
 [        987         141]
 [        990         141]
 [        993         144]
 [        993         147]
 [        999         153]
 [        999         186]
 [       1005         186]
 [       1008         183]
 [       1014         183]
 [       1017         186]
 [       1020         186]
 [       1029         195]
 [       1029         198]
 [       1032         201]
 [       1032         204]
 [       1035         207]
 [       1035         231]
 [       1038         234]
 [       1038         246]
 [       1041         243]
 [       1059         243]
 [       1068         234]
 [       1071         234]
 [       1074         231]
 [       1080         231]
 [       1080         228]
 [       1083         225]
 [       1083         210]
 [       1086         207]
 [       1086         204]
 [       1089         201]
 [       1089         195]
 [       1077         183]
 [       1077         180]
 [       1074         177]
 [       1074         174]
 [       1071         171]
 [       1071         159]
 [       1068         156]
 [       1068         153]
 [       1065         150]
 [       1065         147]
 [       1062         144]
 [       1062         141]
 [       1059         138]
 [       1059         123]
 [       1068         114]
 [       1071         114]
 [       1071         111]
 [       1068         111]
 [       1065         108]
 [       1062         108]
 [       1059         105]
 [       1056         105]
 [       1053         102]
 [       1050         102]
 [       1047          99]
 [       1044          99]
 [       1041          96]
 [       1038          96]
 [       1035          93]
 [       1032          93]
 [       1026          87]
 [       1023          87]
 [       1017          81]
 [       1014          81]
 [       1008          75]
 [       1008          72]
 [       1002          66]
 [        999          66]
 [        996          63]
 [        993          63]
 [        990          60]
 [        954          60]
 [        951          57]
 [        948          57]
 [        945          54]
 [        945          51]
 [        939          45]
 [        939          42]
 [        936          39]
 [        936          30]]
